,Brand,Title,Transcript,Group,Views,Likes,Comments,Date,Genbit Score,% Female Words,% Male Words,Avg Bias Ratio,Freq of Female Words,Freq of Male Words
0,Baxter,Baxter of California Further Explores A Life Lived True,it's kind of a beautiful wasteland  there's just this battle between like  structure and nature California is a  place where it's the big leads and if  I'm gonna feel a way about myself as a  creative let me see what it's like out  there  [Music]  you have to be down to like fail nothing  is going to come easy and if it does  it's it's a rarity I guess I get to see  a sort of side of la that little people  don't really get to I've been in it all  my life  I love California and I love LA  [Music],M,2095817,39,3,"May 17, 2018",0,0,0,0,0,0
1,Baxter,Baxter of California. Grooming to Live Life True.,"Be honest.
Be vulnerable.
Be yourself.
Talk about your feelings.
It's like we so are worried about this outside appearance
and putting up this wall of like who we
have to be to be accepted and it's just
like, it's just such—it's BS, you know?
And it's like, just being true yourself and
not trying to be someone else.
Because that's a waste of a life.",M,1903293,42,1,"Aug 16, 2017",0,0,0,0,0,0
2,Baxter,How to Choose the Right Pomade for Short Hair | Baxter of California,"If we're from here, from SoCal, we have heart for it, like this is our place—this is our coast

This is us right here—this is our style, this is our everything

What I love about LA? The culture. It's like everyone is kind of united. Everyone coexists with each other

Don't care what people think of you just continue to do what you do

and don't be focused on what other people in your head

Now that I'm where I'm at in my life, you know, I'm completely myself and I know that my homies don't judge me

for who I am and the person that I am exactly the way that I'm supposed to be

I had a little bit of a rough past, but being true to yourself is the most important—knowing who you are",M,1718496,30,3,"Apr 26, 2019",0.57714928022432,0,0.25,0.619708894643116,0,1
3,Baxter,Full Beard Grooming by Baxter of California,"hello and welcome to Baxter's guide to

picking a pomade with attitude hair

it's that thing on your head different

styles require different pomades to

achieve your desired look cream pomade

keeps it light and natural clay pomade

gives moldable definition stiff but

still soft to touch

clay effect style spray is all about

adding texture hard water pomade gives

that shine and all day control cool

you

",M,926669,2200,164,"Nov 6, 2013",0,0,0,0,0,0
4,Baxter,True Angeleno: Henry | Life Lived True - Baxter of California,"growing a full beard is more than a lack

of shaving beards need regular

maintenance to look good this video will

show you how to trim and shape your

facial hair

John's beard is full and natural-looking

his goal is to control growth maintain

shape and remove split ends so his beard

stays healthy first start with the right

tools a comb scissors and a beard

trimmer trim your facial hair after a

warm shower so it's easier to manage

begin by combing your facial hair to

remove tangles and inspect length start

under the jawline where most of the

growth is comb against the growth

pattern to identify stray hairs use

shears to trim any hairs outside of your

desired shape occasionally restyle your

beard to check its shape and ensure you

aren't cutting too much off next move to

your sideburns and beard the goal is to

make sure your sideburns and beard are

connected and blend seamlessly comb the

sideburns out use clippers with a high

guard number and gradually work your way

to a lower guard number to fade any

disconnection next the mustache

consistency and density and volume is

important when trimming your mustache

start by combing the hair straight down

use your upper lip as a guide and trim

length just below the lift line don't

cut it too short or you will throw off

the shape a natural-looking neckline

goes best with this style of beard

you'll want to avoid harsh lines at your

neckline and cheeks comb your neckline

hairs upwards remove over growth by

flicking Clippers without a guard around

the perimeter of your beard line cutting

in the direction of hair growth same

thing goes for your cheek line using the

smaller teeth of your comb brush your

facial hair down your cheek trim rogue

hairs or flick Clippers in the direction

of your hair growth to remove anything

beyond the bulk of your beard now

there's a fine-looking beard trim your

beard once or twice per week depending

on your hair growth once a month have a

professional clean it up for more

grooming tips visit Baxter of California

comm

",M,466250,12,0,"Aug 16, 2017",0.151080195889519,0,1,0.130213945002161,0,3
5,Baxter,True Angeleno: Austin | Life Lived True - Baxter of California,"Don't care what people think of you just
continue to do what you do

and don't be focused on what other people put in your
head

Remember where you came from, no matter where you go. Remember where you started, and remember what got you there

and remember what fueled you to
get to where you're at

So remember where you came from—that's what keeps you real and keeps you from turning fake in Los Angeles

",M,339684,16,1,"Aug 16, 2017",0,0,0,0,0,0
6,Baxter,Home For The Holidays | Baxter of California,"I mean, I don't know exactly why I got
the cross, but the message is all about love, you know?

I try to acknowledge everyone I see, you know?

I don't want people to not feel seen

Now that I'm where I'm at in my life, I'm completely myself

And I know that my
homies don't judge me for who I am and the person I am is exactly the way I'm supposed to be

",M,232752,27,2,"Dec 7, 2016",0.563344753634375,0,0.25,0.643387461307911,0,1
7,Baxter,True Angeleno: Todd | Life Lived True - Baxter of California,"[Music]

my name is Neven Pontius and I live with

my wife scarlet my daughter Clementine I

grew up outside of Madison Wisconsin on

a farm run around with cows and mini

bikes oftentimes holidays meant going on

a road trip spending time with family in

Arizona we had an old Toyota van I think

we racked up like five hundred thousand

miles on it for us our family time is a

few hours in the morning doing little

activities like laying with play-doh and

tinkering on cars a little bit before I

head off to work part of the traditions

that we've held on to is going on a road

trip packing up the bags and getting in

the car and we go down spend time with

relatives and our parents and sometimes

grandparents I'm Steven Smith and I'm an

agrarian adventure travel and lifestyle

photographer I rent an apartment in Los

Angeles that's my home base but Colorado

still feels like home for the holidays

I'm heading back I ride from here to

Colorado because once you get into that

desert you're just humbled by that space

and then you can get up and start to see

the Rockies all the way up to the Front

Range and then I'm home knowing that no

matter how crazy year is and no matter

how much I'm traveling for work there's

always that kind of light at the end of

the year where just at least to take a

couple days to reflect eat well and just

be together and reconnect with the

family

[Music]

I think the most beautiful days I've

seen in Malibu have been around the

olives I love it

my name is Davide I was born in Italy

three days after I've finished my

military service in Italy I went from

army barracks to Los Angeles Malibu was

pretty incredible my wife is from

California I had actually met her Europe

so when I got to that border I had an

old phone number and I called it so she

says I'll pick you up and she's like I

want to show you a place and we drove

down here and I think we spent you know

the whole day from that time on we have

been coming to this place this is a

place for for my wife and for our family

that is very special it's so important

for the kids it's nice to watch them get

so excited about the audience

approaching

[Music]

",M,186892,15,0,"Aug 16, 2017",0.831075076955217,0.5,0,-0.875533869010375,7,0
8,Baxter,True Angeleno: Gil | Life Lived True - Baxter of California,"I mean maybe I would have done something
crazy earlier in my life if I had grown up differently

I was an only child,
and I didn't live with my dad

so I actually like, I was not afraid, but I wasn't rebellious enough

It's amazing how much of my transformation happened in my life after I turned 18

Yeah, it's been one hell of a ride.

",M,183839,15,0,"Aug 16, 2017",0.582614777094944,0,0.5,0.651607648581895,0,1
9,Baxter,"Be Real, Be Honest | Life Lived True - Baxter of California","What do I love about LA? The culture.

It's like everyone's kind of united—everyone coexists with each other.

LA is more kicked back—there's no pressure, you know?

You just live, you know? Day by day, you're chill.

Have positive energy, do good to people— hopefully it'll come back

But don't depend on it

",M,108728,10,1,"Feb 2, 2018",0,0,0,0,0,0
