Brand,GenBit Score,% FGD words,% MGD words,Avg Bias Ratio,Frequency of FGD words,Frequency of FGD words
Blu Atlas,0.70882,0.15789,0.44736,0.27296,12,34
W For Woman,1.90362,0.97321,0.01785,-2.08229,109,2
Taylor Stitch,0.07705,0,0.58928,0,0,33
Rare Beauty,0.56982,0.12727,0.10909,0.55987,14,12
Dollar Shave Company,0.04311,0,0.05649,0,0,10
Sephora,0.53761,0.52083,0.04167,-0.46182,25,2
Beardo,1.01866,0,0.96226,1.09878,0,51
Loreal,1.5055,0.56329,0.05696,-1.10955,89,9
The Man Company,1.08727,0.03571,0.81746,1.19575,9,206
Maybelline,0.87125,0.29361,0.42553,0.16925,69,100
Lumin,0.37069,0.10526,0.36842,0.28354,4,14
Fenty Beauty,0.96578,0.45588,0.23529,-0.16371,31,16
Chanel,0.00304,0.125,0.125,-2.52898,1,1
Hugo Boss,0.55758,0.06667,0.41333,0.42723,10,62
Shein,0.63791,0.36752,0.26495,-0.16792,43,31
Peter England,0.08411,0,0.5,0.0723,0,5
Juliette Has A Gun,0.70868,0.80952,0.01587,-0.67884,51,1
Old Spice,0.81691,0.39473,0.38157,-0.01539,30,29
Veet,0.15465,0,0.72413,0.12995,0,21
Gillette,0.57687,0.12963,0.55555,0.45058,7,30
