Brand,Title,Link,Transcript,Group,Views,Likes,Comment,Date
Old Spice,The Expert | Old Spice GentleMan’s Blend Body Wash,https://www.youtube.com/watch?v=TBJAJKspa0I,"wow your skin is amazing oh oh thank you  I got my Old Spice gentleman's body wash  to thank for that  your man glow is on point bro well you  know the key to Great skin is  exfoliating and moisturizing and Old  Spice gives me both he used to rely on  me for skincare advice now he's so  moisturized well I mean he's so fresh  but I probably should use Old Spice too  babe actually that's my
wow your skin is amazing oh oh thank you  I got my Old Spice gentleman's body wash  to thank for that  your man glow is on point bro well you  know the key to Great skin is  exfoliating and moisturizing and Old  Spice gives me both he used to rely on  me for skincare advice now he's so  moisturized well I mean he's so fresh  but I probably should use Old Spice too  babe actually that's my",M,2493,141,10,"Jun 30, 2023"
Old Spice,The Secret | Old Spice,https://www.youtube.com/watch?v=8vbJiu40k7w,"they are losing they need a miracle
encouragement
will give them the confidence and freshness they
need to win
what change what confidence that Flow
freshness that lasts 24/7
[Applause]
[Music]",M,1491,75,5,"Jun 29, 2023"
Old Spice,Smells Like Romance | Old Spice Body Spray and Pomade,https://www.youtube.com/watch?v=564Y6lpuTDw,"I can smell the romance in the air 

it's the lasting freshness of Old Spice to be fair

A little pomade can go really far 

Now make a big wish on that shooting
star  

(Old Spice)

Freshness all day, Swagger all night 

Use long lasting Old Spice, when you're in the spotlight

Old Spice whistle
",M,865470,158,13,"Jun 27, 2023"
Old Spice,Give Odor The Bird | Old Spice Eaglefangs Deodorant Wild Collection,https://www.youtube.com/watch?v=ABGF-h6GJY0,"pepper brownie pepperoni so where are we

dropping let's go take a rift

sorry chat I forgot to put on my Old

Spice deodorant and this body odor is

driving me nuts oh even your play stinks

give odor the bird with the 24 7 lasting

freshness of Old Spice Eagle fangs

deodorant

so what are we playing thanks
",M,2480224,157,25,"Jun 15, 2023"
Old Spice,Tango | Old Spice Swagger Body Wash and Deodorant,https://www.youtube.com/watch?v=WeFl5Ypcp_E,"didn't use Old Spice I think I smelled

freshness

[Music]
",M,15821,166,28,"Mar 27, 2023"
Old Spice,Family Reunion | Old Spice Wilderness Dry Spray,https://www.youtube.com/watch?v=Q4LopcCnH4E,"[Music]

I think

what did I say about using my old spice

dry spray

I need long lasting

Lavender is our lavender remember when

we used to steal his Old Spice body

lotion she used to oh

yes I can't take you nowhere

ah I'm telling Mommy Mom you got some

too

[Music]

oh thank you

no no
",M,4648538,253,26,"Feb 28, 2023"
Old Spice,Your Hair by Old Spice Stylers | Old Spice Hair,https://www.youtube.com/watch?v=uMkvbKHWOyY,"your hair by Old Spice the finest One of

a Kind best and only accessory you'll

ever need rose on your head all spice as

their products
",M,18165506,164,25,"Feb 22, 2023"
Old Spice,Soliloquy | Old Spice Swagger Antiperspirant Invisible Dry Spray and Deodorant,https://www.youtube.com/watch?v=1Y3qmbcqgAk,"I didn't use Old Spice, I think I smell

You thought no one could tell? 

Freshness all day

 Swagger all night

Long lasting Old Spice

Keeps that stank out of sight!

Old Spice Whistle
",M,17352220,445,73,"Feb 5, 2023"
Old Spice,Cold | Old Spice Gentleman’s Blend Moisturizing 2in1 Shampoo and Conditioner,https://www.youtube.com/watch?v=yf-BoGVvq8w,"moisturizing shampoo the real

ingredients
Nothing beats a shower song about moisturizing shampoo, in a commercial about moisturizing shampoo. #MenHaveHairToo",M,19814142,341,59,"Oct 15, 2022"
Old Spice,Brunch | Old Spice GentleMan’s Blend Lavender & Mint Body Wash,https://www.youtube.com/watch?v=Ns7VPt-neTE,"Admit it 

You used my Old Spice body wash

Of course

I'm not letting hotel soap near my skin  

RIGHT 

Now I'm gonna be ashy   

It's the lavender and mint for me

Let me get that 

Savannah, if you don't get your moisturized hands off my body wash

Old Spice Whistle 
",M,25118656,994,184,"Oct 6, 2022"
