John Armstrong,I can’t begin to express how happy I am to see the #OldSpice man is back!Look again!Back at me!,This was nutty #OldSpice #Speedruntech #TearsOfTheKingdom #Zelda #NintendoSwitch, The 
Michael Barrio,Birthdays hit different in your 40’s…,Birthdays hit different in your 40’s…#birthdayboy #birthdayvibes #oldspice,
Michael Barrio,Birthdays hit different in your 40’s…,Birthdays hit different in your 40’s…#birthdayboy #birthdayvibes #oldspice,
Busayo Oyenuga,"In 2010, Old Spice stole the attention from Obama's Victory speechAnd Dove's super bowl Ad They used a simple tactic you can replicateThis way, you'll steal customers from your competitorsHere's the story + how you can do the same;",,
OldSpice_Dad,"Is China's big shopping spree beginning?Does the population of Russia actually know that ""Vladolf"" is selling your country? ",,
,"A self insert.  They used a SELF INTEREST to promote that out of touch commercial from a soap company, that sells more to women mostly, to virtue signal.
Guess I can scrap Dove For Men products off my list now.  I did it for Old Spice and Axe.
JFC, do these people ever LEARN?
Quote Tweet
Bounding Into Comics
Dove's New 'Real Virtual Beauty' Ad Campaign Calls On Gamers ""To Challenge The Narrow Definitions Of Beauty Still Visible In The Virtual World"" https://boundingintocomics.com/2023/05/17/doves-new-real-virtual-beauty-ad-campaign-calls-on-gamers-to-challenge-the-narrow-definitions-of-beauty-still-visible-in-the-virtual-world/",,
,"Nigga tried to clown Sauvage just to bring up basic 1 million. LMAOO you can’t make this stuff up.

This is really like trying to clown someone wearing axe while you wearing old spice. Goobers fr",,
,"old spice is the best deodorant brand because of its gay little ""wilderness"" lavender-scented variet
",,
,"But you know which hookup rumor did turn out to be true? Neve and Isaiah Mustafa aka the Old Spice Guy. He apparently had denied dating Neve back in 2010, but she says they had a “moment”, which probably means it was more of a fling. I’m Andy Cohen at the end of this clip!",,
Kevin Hart,"I don't mess with AI and this is the reason why!! Bad enough my wife keeps taking my 
@OldSpice
 Lotion but now ""the box"" does too - technology has gone too far.... #sponsoredobviously #menhaveskintoo

Shout out to 
@itsadamw
, 
@spiceadams
, and 
@jesustrejo
 for losing my Old Spice!!",,
,"Dawg we was wearing old spice and it made our under arms burn this kid is def 55yrs old",,
Mythical Chef Josh,"Big thanks to 
@Karamo
 both for coming on Last Meals and also for succinctly diagramming the toxic traits I need to work on. I refuse to stop using Old Spice though. Bear Glove smells like orange Starburst and I like it.
Show this thread

",,
,"Kendall
@Kenny___Rose
·
16h
real women use old spice deoderant",,
,"""Maomao - old spice, smell like a hero!""
Old spice advert parody. Your welcome...😁
#maomao #maomaoheroesofpureheart #oldspice #sketch",,
Managemensfashion,"6. Chanel allure homme sport

A little-known fact is that women love Old Spice. It’s sporty and casual while smelling crazy good. So if you’re looking for a fragrance with the Old Spice effect, minus the locker room undertones, Chanel Allure Homme ",,
